JobID,Company,Role,RequiredSkills,NumRounds,Location,Package_LPA,ExperienceLevel
J057,Salesforce,Product Manager,"PostgreSQL | React | Python | TypeScript | GraphQL",5,"London, UK",57,Mid-Level
J058,Stripe,Product Manager,"TensorFlow | Java | AWS",6,"Bengaluru, India",47,Entry Level
J059,Netflix,Data Scientist,"Java | Node.js | TypeScript | C++ | SQL | Docker",6,"London, UK",20,Senior
J060,Uber,Security Analyst,"PostgreSQL | C++ | Java",4,"Austin, TX",38,Senior
J061,Netflix,UX Researcher,"MongoDB | System Design | Java | Next.js | React | Kafka",6,"Seattle, WA",22,Senior
J062,Databricks,Frontend Engineer,"React | C++ | System Design | Spark | Go | MongoDB",6,"Boston, MA",39,Senior
J063,Bloomberg,Data Scientist,"Go | Docker | Java | PostgreSQL",4,"Boston, MA",37,Senior
J064,Snowflake,Machine Learning Engineer,"Redis | Docker | Kafka",5,"San Francisco, CA",55,Entry Level
J065,Nvidia,Security Analyst,"Kubernetes | Java | PyTorch",7,"Toronto, Canada",28,Senior
J066,LinkedIn,DevOps Engineer,"Kubernetes | GraphQL | Spark | PostgreSQL | C++ | AWS",6,"Austin, TX",50,Junior
J067,Databricks,Frontend Engineer,"System Design | React | Next.js | Node.js | Kubernetes | Spark",5,"Seattle, WA",20,Junior
J068,Google,Machine Learning Engineer,"System Design | Python | GraphQL",6,"London, UK",39,Mid-Level
J069,Airbnb,DevOps Engineer,"TensorFlow | Docker | React | MongoDB | Spark",5,"Seattle, WA",56,Junior
J070,Snowflake,Site Reliability Engineer,"SQL | TypeScript | Java | PyTorch | TensorFlow | React",6,"Bengaluru, India",34,Entry Level
J071,Tesla,Machine Learning Engineer,"Python | Docker | Go | System Design | Redis | Node.js",7,"London, UK",43,Entry Level
J072,Intuit,Data Scientist,"TensorFlow | AWS | Kafka | TypeScript | Docker | MongoDB",5,"London, UK",33,Entry Level
J073,Microsoft,DevOps Engineer,"GraphQL | Python | MongoDB",4,"Remote",40,Mid-Level
J074,Snowflake,Software Engineer,"MongoDB | Next.js | SQL",7,"Remote",55,Junior
J075,Google,Machine Learning Engineer,"AWS | React | Kubernetes",3,"Seattle, WA",15,Entry Level
J076,Palantir,DevOps Engineer,"React | Kafka | Java",7,"London, UK",31,Entry Level
J077,Netflix,UX Researcher,"SQL | Docker | Go | AWS | System Design | PostgreSQL",5,"Boston, MA",31,Mid-Level
J078,Salesforce,Frontend Engineer,"TypeScript | Go | Java | Node.js",6,"Remote",28,Entry Level
J079,Palantir,Data Scientist,"System Design | Kafka | Java",4,"Seattle, WA",18,Junior
J080,Adobe,Product Manager,"Redis | Java | Python | PostgreSQL | Spark",4,"Toronto, Canada",52,Entry Level
J081,Nvidia,Frontend Engineer,"PyTorch | TypeScript | React | Node.js | Next.js",4,"Toronto, Canada",37,Entry Level
J082,Uber,Security Analyst,"MongoDB | GraphQL | Python",7,"Seattle, WA",59,Junior
J083,Google,Product Manager,"AWS | MongoDB | C++ | Node.js",6,"Boston, MA",32,Junior
J084,Salesforce,UX Researcher,"PostgreSQL | TensorFlow | AWS",3,"New York, NY",53,Mid-Level
J085,Tesla,Backend Engineer,"Node.js | Go | AWS | PostgreSQL | System Design",5,"Boston, MA",47,Junior
J086,Atlassian,Product Manager,"PyTorch | TypeScript | Spark",7,"Bengaluru, India",41,Junior
J087,Amazon,Site Reliability Engineer,"Docker | MongoDB | GraphQL | Next.js",4,"Bengaluru, India",56,Entry Level
J088,Apple,Backend Engineer,"Docker | Python | Java | TypeScript",5,"Austin, TX",35,Junior
J089,Salesforce,Machine Learning Engineer,"Go | TensorFlow | Spark | System Design | AWS | MongoDB",4,"London, UK",44,Junior
J090,Adobe,Machine Learning Engineer,"Python | GraphQL | Redis",5,"Boston, MA",52,Junior
J091,Apple,Backend Engineer,"PostgreSQL | TensorFlow | Java | Go | Redis",3,"Austin, TX",49,Mid-Level
J092,Adobe,UX Researcher,"Python | Node.js | PostgreSQL | System Design | Java | Kafka",4,"San Francisco, CA",15,Entry Level
J093,Amazon,UX Researcher,"Java | PostgreSQL | Python | Redis",7,"Bengaluru, India",17,Mid-Level
J094,LinkedIn,Data Scientist,"Spark | Python | Docker | PyTorch | System Design | Node.js",7,"Austin, TX",29,Junior
J095,Microsoft,Product Manager,"Redis | React | PostgreSQL | Node.js | Python | Java",7,"San Francisco, CA",22,Entry Level
J096,Amazon,Security Analyst,"Java | Docker | Next.js",5,"Boston, MA",47,Mid-Level
J097,Airbnb,Software Engineer,"PyTorch | Python | Next.js | Spark",6,"Toronto, Canada",21,Senior
J098,Uber,Product Manager,"C++ | Go | System Design | Java",5,"Toronto, Canada",24,Mid-Level
J099,Meta,Backend Engineer,"Kubernetes | Python | PyTorch",5,"Boston, MA",47,Senior
J100,Snowflake,Backend Engineer,"Redis | Agile | System Design | SQL | Java | Kafka",3,"New York, NY",30,Entry Level
